Latest_calibration_year,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2030.0,2066.269394163326,0.01225259620466973,0.011981494900252049,0.016988550883007242,0.29408941624793394,0.48784103041846905
2045.0,5307.66775122549,0.023538686167311057,0.05850055962425882,0.05788033096767323,0.6773642498395536,1.0559427864316113
2060.0,5388.598042831774,0.023569883947838904,0.06966363968842365,0.06407501358571704,0.5665878327736666,1.8491568688372482
2075.0,6181.402749023095,0.030164112540628896,0.08506296671532598,0.06789979699051835,0.365020499022916,3.364019796916317
2090.0,6335.543970713534,0.037614899689355635,0.08089095681981129,0.07120131043917027,0.35759750684370273,4.656856039122957
2105.0,6508.980979045929,0.04813900023083424,0.10876873219604799,0.07168735470214299,0.5121706798043858,5.605169709496366
2120.0,6647.881408476678,0.055656626730958794,0.11375282393908506,0.08034052469605928,0.4234205081022526,5.456901736172597
2135.0,5685.545412256117,0.058739541409371765,0.11558028656921851,0.07752469244397339,0.4465309260305076,5.024951457402054
2150.0,6133.834436776517,0.05710851488659108,0.1202345098663878,0.08698176732498793,0.40923033183027424,4.90584124068765
2165.0,7189.564917404805,0.058104702373007425,0.12255824039313999,0.07913448763276275,0.5435842306697753,4.295273006098618
2180.0,5869.51910609745,0.07084570559395058,0.11262993526440578,0.07581988947216248,0.5465475428852179,3.916815308469591
2195.0,5838.62727821845,0.0698485073975729,0.0909481003149163,0.06497927813428318,0.3483475123236778,4.031370731613439
2210.0,5839.592982147096,0.05376850527217192,0.07471572288755329,0.06980497152709353,0.33581628394335405,4.924915175296789
2225.0,6513.091791602321,0.024308384324619292,0.06202202181396331,0.06688468347835533,0.30734602344883644,5.082123369245934
2240.0,6636.816611046135,0.015364675995176155,0.07077469630860814,0.07035209480499525,0.2732219986478588,4.896434336440954
2255.0,6465.513440696781,0.012725623371840914,0.06472258429349856,0.06657524039263953,0.2681620653045218,4.651031147254457
2270.0,5922.468731377157,0.010706909988574966,0.06257886451297187,0.06336268887274016,0.2718049470029841,4.557349594263858
2285.0,6495.350325802934,0.011148660174422037,0.061752922764511824,0.060314163825504016,0.26461843389854933,4.440894638757062
2300.0,6360.8460879632,0.011197152844314325,0.06232652936376725,0.054651876758434074,0.2619328622152396,4.263695202304465
