Latest year of calibration,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2015,34089.33802567133,0.1722318847130225,0.23286815012504225,0.20565345314892813,128555.61978012242,30.480193376834716
2030,33816.05134594672,0.16764915044596795,0.21295621597980868,0.19610401425856722,121156.46483677872,30.338526569151288
2045,33805.06130125731,0.16019753897291308,0.20868257116009595,0.19070348126416042,108476.06241829859,30.16985727500871
2060,33618.233223029805,0.15802008411456384,0.20683052372006247,0.18570280326075717,74391.00184950065,29.79682791483362
2075,33574.41018753864,0.15327185693056017,0.2059482158302164,0.18182005410617627,43693.49508451813,28.3252839720505
2090,33213.152706501496,0.1519624691113576,0.20081569086033524,0.1749964313154689,41630.22358551284,26.977484833059023
2105,32597.33878149473,0.14568582289902435,0.18190397743589848,0.16380151992880138,38228.56352183236,26.610358849280075
2120,32413.152596841577,0.139566027320072,0.17594478189146023,0.1608129370802156,33381.541872236514,26.408737191600437
2135,32018.85878494385,0.13551325048086899,0.17380057698089532,0.15414230141731644,29173.489791447162,24.455676870375534
2150,31770.268341799216,0.1316298643264292,0.17163865650133595,0.15097049885998415,24370.62654541096,23.692919265864575
2165,30796.270395604584,0.12682691714893327,0.16295952436282915,0.1395948903953333,21077.800613850293,21.741604067967994
2180,29056.318060274898,0.11444876991497335,0.14721399964875748,0.12662034973225827,16310.754806375639,21.431701611036846
2195,28379.00663101728,0.09501637762251916,0.12544334414002456,0.11616660926860473,12005.066377600153,20.936230068929248
2210,27689.75740214324,0.06961846810127066,0.10882624440322208,0.10715690602802042,10968.810364748784,20.381887689838432
2225,26474.32497301971,0.04291327680183726,0.0990282299394439,0.09935696881136753,9340.468625224343,19.94874526021138
2240,26269.23182051004,0.032996709024939716,0.09898328000323392,0.0983667132952101,8745.10497962347,19.754340918921617
2255,26286.133297880475,0.02710431438440391,0.09650977204172831,0.09667300675168057,8294.38685142772,19.56036865354569
2270,26064.200016589668,0.02391703320865896,0.09339890064304233,0.09403546677412733,7851.08532756347,19.242554386674342
2285,25834.345502352622,0.022246277766627152,0.09271619076744825,0.09239214694821295,7498.147783890242,19.084266738733806
2300,25705.612904087135,0.020856981619371526,0.08895989243417135,0.08908949140247899,7309.608830667978,18.86975675382262
