Latest year of calibration,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2030.0,1154.4645810784782,0.005734591914376943,0.00490702887056401,0.008154054454426404,24319.232522245453,0.31822242998256134
2045.0,2578.692466132494,0.01572047448569105,0.0317728750648241,0.02944755712156187,44359.49162595885,0.5690671396042475
2060.0,2716.305302564617,0.01755427298564855,0.03391779890864814,0.030544810266123455,41349.77112546803,0.8839838858572746
2075.0,2969.730269781889,0.022707044454720965,0.04268831673976649,0.03390965615065452,29412.780966909253,1.7317112573377709
2090.0,2974.3261169171897,0.02339477031911597,0.04342695257199361,0.03461228847197772,24370.225372231303,2.1502320140627575
2105.0,2988.6064233287334,0.025339727209238404,0.0523690588151527,0.034974312946900614,20909.13827639729,2.4656249990306294
2120.0,3333.7170133633604,0.0275033483924807,0.054569253815009953,0.040633493002732536,20038.959194090497,2.589198537075936
2135.0,3318.571128560509,0.02867661741498582,0.05587981892579678,0.040385181175073614,19550.86350018337,2.1622279724509856
2150.0,3520.0440019841967,0.02842851459096502,0.05927916021062234,0.0430541777616581,11866.932157833518,2.4770964388772083
2165.0,3448.0422586270856,0.02944885443369045,0.060587533166190186,0.044912775761982895,7487.65231817673,2.283012682705841
2180.0,3426.964667309544,0.029174918146351734,0.061840895107374366,0.042350812464617006,5231.467736095637,2.171081571790655
2195.0,3171.9006165369155,0.03228750941180777,0.05333887428541145,0.037183189709778186,4224.36426744917,2.0174161896321756
2210.0,3730.630796505823,0.029337101101459147,0.04590240602670617,0.041815195365303356,4249.745456293196,2.716612109862546
2225.0,3531.3789566227506,0.01470032984293099,0.040669201815470096,0.039655549380767645,3497.7699484440054,2.341196425258022
2240.0,3559.637673240133,0.014086325616593594,0.044295501011816577,0.038968745924252646,3460.4613960220195,2.5263358007499113
2255.0,3857.8266316298814,0.010438736734500617,0.044529363363948214,0.03957631023464969,3336.48476204599,2.5143824723334154
2270.0,3727.317812230535,0.008353142425805248,0.04332983241229251,0.03886032475816421,3097.8175470009087,2.4437746672773843
2285.0,3455.158903704436,0.007323545187887093,0.039640853891186094,0.039455554126646905,2916.6178014610236,2.1373416495307103
2300.0,3426.8540479186067,0.0064543325287888574,0.040581791367790644,0.03740958259423311,2834.3458281546405,2.2104869715830713
