Latest_calibration_year,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2030.0,1113.9949273668817,0.0060781451277739885,0.0051248517313033344,0.008099178831582024,26412.513572416094,0.4508368496079799
2045.0,2575.133900840681,0.017750455507071796,0.03189375975518751,0.029210619978429588,46959.374841128505,0.6137652234138821
2060.0,2706.3138264819395,0.018984275605717124,0.03374161978061807,0.030766757770637802,51299.557148312604,1.0184644887527183
2075.0,2925.8715815115575,0.022576819672463694,0.04275886852464446,0.033302414825603074,43686.8101669543,1.8733115141391843
2090.0,2942.22659523472,0.023314841736092363,0.043652994180526955,0.035378982798764565,35628.51363478857,2.1248961079053426
2105.0,2998.7270421767507,0.025798864904537526,0.050773468348505345,0.03472536411841313,24508.029650577308,2.550103723067022
2120.0,3273.6217789935727,0.029019328229488616,0.053901999130957015,0.039398269662792126,23942.651312550097,2.7330638942195074
2135.0,3246.9003841315393,0.03115293369855416,0.054519230091717046,0.0393993754570613,23446.147834881463,2.4737606080343233
2150.0,3479.547540334724,0.029954933841254316,0.05721260744646499,0.04182366854061032,15991.973861427412,2.7897398293727176
2165.0,3438.834263714293,0.03198576746651406,0.059550982318491846,0.04435947506952857,8007.772341010428,2.424375618753994
2180.0,3424.0115106780436,0.03328394724070874,0.06224173402815643,0.04144660639516351,5909.483203597416,2.277924793519533
2195.0,3222.0322141000374,0.034638022311661604,0.049016955066857014,0.03596208516632426,5302.572581165206,2.1650296050429985
2210.0,3758.49008227067,0.02964324040975356,0.04101909160760368,0.04027984053635334,5211.507396148335,2.6180850338154333
2225.0,3628.5266427062484,0.01498901236025858,0.043283481500346055,0.03752088808096242,5022.186782349773,2.6359895402498053
2240.0,3631.931759520465,0.01302943599321076,0.04328012047702983,0.039279821310312726,4983.768308050061,2.526317491502332
2255.0,3675.081375475093,0.009915602980325592,0.04079886376822206,0.03698018980522423,4764.406549047173,2.4322580279260206
2270.0,3634.097157240743,0.008155424756428628,0.03962762297084494,0.03638485053360998,4612.108969833853,2.4775500670535053
2285.0,3407.280240554333,0.007285193205590599,0.03905498492149965,0.038158337867944724,4356.76765195741,2.1677388899528203
2300.0,3212.924650670993,0.008372501510272617,0.04201708207915777,0.03658871028501837,4291.6768329335355,2.156755050111748
