,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
0,120860.03620177507,0.10831650951551273,0.9406401179730892,0.9944423664361238,289156.22630301863,53.59738943122054
1,137520.22368833423,0.21855481072181837,0.9782709419727326,1.1061541579663754,221252.6703278534,22.981423938970664
2,165425.27221143246,0.20174324154320172,0.8797316234558821,1.0644718188792468,368912.4366220832,50.183858180488436
3,115820.43619826436,0.2838461691627931,0.9237265154719353,1.0916563753038644,430318.3802518621,34.07196085387325
4,130397.12451398373,0.20783274913667704,1.1853543289005755,0.9359298013150692,100436.98746638373,57.026794505055214
5,87134.23285633326,0.13283853773983195,0.8222628083080054,1.125168777257204,174269.25863573328,38.332700408603834
6,158498.03073331714,0.24217628411589193,1.0870157215744256,0.8942253369837999,240914.49211042374,15.043752166313714
7,99992.09243804216,0.1154385154904984,1.0494458373636006,1.0059372656047345,208112.8752221726,48.59501894259171
8,142660.57081520557,0.1608121032636147,0.9612963058054447,0.8080679155886173,22420.230160485953,41.04080898425123
9,163920.53544521332,0.32149997352866455,0.9698226287961006,0.9392138455063105,144225.05696862936,46.72649327814663
10,119447.68588989973,0.2364685633738991,0.808856150880456,1.0190106395632028,50950.09443704039,55.90457890690041
11,154333.8285945356,0.13850986285346562,1.0939808811992406,0.9507626079022884,380662.7199010737,32.30970039440069
12,97596.94302454591,0.20940347737720238,0.9073863513767719,1.1603143699467182,306715.82366446033,16.926270243698863
13,176770.19491791725,0.2822408524064161,1.1956359907984733,0.8168925780802966,240014.52118944377,39.434902905963504
14,147210.94027161598,0.3024470830823295,0.8883929867297411,1.1835083745419979,260013.98331953213,44.698592809147144
15,126375.04303827882,0.18923552028374746,1.0017418067902326,0.8392838720232249,157182.91292496026,21.853441528288176
16,169842.83795580268,0.14711028851910496,0.9898597113788128,1.0496177453547717,112074.45296943188,28.82798162515445
17,104719.831161201,0.22790819145734423,1.1000836193561554,0.9806097276508808,420244.3463530205,52.04636014099233
18,135227.8846502304,0.3141145098468103,1.064117144420743,1.0603845335543156,354916.4207096584,54.766555659183155
19,175069.22224536538,0.31665746852788146,0.9459162443876267,1.1315747413784265,59831.192311961204,51.464268984235765
20,152876.99338048697,0.1000250931348838,0.844447160884738,1.0976953662931919,315850.338501893,21.00830474506501
